yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,drive,sp,qtr,down,goal_to_go,ydstogo,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,2_length,2_location,air_yards,yards_after_catch,1_location,1_gap,home_timeouts_remaining,away_timeouts_remaining,timeout,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post
75,900,1800,3600,1,0,1,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,3,3,0,0,0,0,0,0,0,0
75,873,1773,3573,1,0,1,2,0,10,2,0,0,0,1,0,0,0,1,2,-1,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
75,825,1725,3525,1,0,1,3,0,10,2,-10,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
52,753,1653,3453,2,0,1,1,0,10,1,5,1,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,0,0,0,0,0,0,0,0
47,718,1618,3418,2,0,1,2,0,5,2,0,1,0,1,0,0,0,1,2,2,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
40,672,1572,3372,2,0,1,1,0,10,2,0,1,0,1,0,0,0,1,2,15,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
40,667,1567,3367,2,0,1,2,0,10,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,3,0,3,3,0,0,0,0,0,0,0,0
39,625,1525,3325,2,0,1,3,0,9,2,-6,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
88,579,1479,3279,3,0,1,1,0,10,2,0,1,0,1,0,0,0,1,1,3,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
88,573,1473,3273,3,0,1,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,0,0,0,0,0,0,0,0
88,531,1431,3231,3,0,1,3,0,10,2,-7,1,0,1,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
36,473,1373,3173,4,0,1,1,0,10,1,4,1,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,0,0,0,0,0,0,0,0
32,432,1332,3132,4,0,1,2,0,6,1,6,1,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,0,0,0,0,0,0,0,0
26,368,1268,3068,4,0,1,1,0,10,1,1,1,0,0,0,0,0,0,0,0,0,2,2,3,3,0,3,3,0,0,0,0,0,0,0,0
25,323,1223,3023,4,0,1,2,0,9,1,4,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,3,3,0,0,0,0,0,0,0,0
21,281,1181,2981,4,0,1,3,0,5,2,1,1,0,1,0,0,0,1,1,0,1,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0
60,249,1149,2949,5,0,1,1,0,10,2,0,0,0,1,0,0,0,1,3,5,0,0,0,3,3,0,3,3,3,0,0,3,-3,0,3,-3
60,247,1147,2947,5,0,1,2,0,10,2,5,1,1,1,0,0,0,1,1,5,0,0,0,3,3,0,3,3,3,0,0,3,-3,0,3,-3
55,205,1105,2905,5,0,1,3,0,5,2,0,1,0,1,0,0,0,1,2,4,0,0,0,3,3,0,3,3,3,0,0,3,-3,0,3,-3
96,193,1093,2893,6,0,1,1,0,10,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,3,0,3,3,3,0,3,0,3,3,0,3
95,152,1052,2852,6,0,1,2,0,9,2,5,1,0,1,0,0,0,1,3,3,2,0,0,3,3,0,3,3,3,0,3,0,3,3,0,3
